Cluster:1
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS38330.1	EPS43860.1	-1	AQGS01000063	9312	256644	257913	39	0	
EPS38330.1	EPS38330.1	0	AQGS01000575	9311	256605	260102	0	0	
EPS38330.1	EPS41284.1	1	AQGS01000254	9310	256487	259481	118	0	
EPS38330.1	EPS39495.1	2	AQGS01000467	9309	256271	257368	216	0	
EPS38330.1	EPS42650.1	3	AQGS01000107	9308	256193	258144	78	0	
EPS38330.1	EPS41100.1	4	AQGS01000256	9307	256087	257967	106	1	
EPS38330.1	EPS36744.1	5	AQGS01000823	9306	255890	256712	197	0	
EPS38330.1	EPS36563.1	6	AQGS01000867	9305	255725	258457	165	0	
EPS38330.1	EPS45884.1	7	AQGS01000003	9304	255515	257505	210	1	

Cluster:5
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS39320.1	EPS39320.1	0	AQGS01000479	6860	120180	131829	0	1	
EPS39320.1	EPS38049.1	1	AQGS01000582	6859	120180	121597	0	0	
EPS39320.1	EPS43702.1	2	AQGS01000070	6858	120175	121557	5	0	
EPS39320.1	EPS45382.1	3	AQGS01000016	6857	120162	124499	13	0	
EPS39320.1	EPS39856.1	4	AQGS01000443	6856	120154	125187	8	0	
EPS39320.1	EPS37067.1	5	AQGS01000759	6855	120132	121709	22	1	

Cluster:6
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS41646.1	EPS40940.1	-8	AQGS01000269	1603	17724	18893	24	1	
EPS41646.1	EPS35901.1	-7	AQGS01001002	1602	17700	18485	1	0	
EPS41646.1	EPS43362.1	-6	AQGS01000079	1601	17699	18067	1	0	
EPS41646.1	EPS44702.1	-5	AQGS01000036	1600	17698	19321	19	1	
EPS41646.1	EPS36496.1	-4	AQGS01000893	1599	17679	18502	5	0	
EPS41646.1	EPS40023.1	-3	AQGS01000439	1598	17674	18307	28	0	
EPS41646.1	EPS38987.1	-2	AQGS01000512	1597	17646	19469	1	1	
EPS41646.1	EPS41446.1	-1	AQGS01000240	1596	17645	18544	2	0	
EPS41646.1	EPS41646.1	0	AQGS01000226	1595	17643	20007	0	0	
EPS41646.1	EPS43466.1	1	AQGS01000075	1594	17639	18895	4	0	
EPS41646.1	EPS41593.1	2	AQGS01000235	1593	17634	19630	5	0	
EPS41646.1	EPS37569.1	3	AQGS01000632	1592	17633	20482	1	0	
EPS41646.1	EPS41599.1	4	AQGS01000234	1591	17605	19106	28	0	
EPS41646.1	EPS45210.1	5	AQGS01000020	1590	17595	19254	10	1	

Cluster:7
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS42294.1	EPS42294.1	0	AQGS01000125	4784	70026	77413	0	1	
EPS42294.1	EPS45561.1	1	AQGS01000013	4783	70023	72113	3	0	
EPS42294.1	EPS39224.1	2	AQGS01000484	4782	69990	71564	33	0	
EPS42294.1	EPS36578.1	3	AQGS01000867	4781	69983	71918	7	0	
EPS42294.1	EPS40091.1	4	AQGS01000437	4780	69978	71877	5	0	
EPS42294.1	EPS44798.1	5	AQGS01000033	4779	69930	70379	48	0	
EPS42294.1	EPS40144.1	6	AQGS01000435	4778	69926	70480	4	0	
EPS42294.1	EPS41086.1	7	AQGS01000257	4777	69840	72989	86	0	
EPS42294.1	EPS35425.1	8	AQGS01001140	4776	69837	70919	3	1	

Cluster:8
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EPS44867.1	EPS42856.1	-7	AQGS01000096	2246	26128	28196	1	1	
EPS44867.1	EPS44362.1	-6	AQGS01000048	2245	26127	27641	6	0	
EPS44867.1	EPS40411.1	-5	AQGS01000404	2244	26121	28904	23	0	
EPS44867.1	EPS42295.1	-4	AQGS01000125	2243	26098	26666	0	0	
EPS44867.1	EPS36349.1	-3	AQGS01000918	2242	26098	27156	1	0	
EPS44867.1	EPS41145.1	-2	AQGS01000256	2241	26097	26864	5	0	
EPS44867.1	EPS39318.1	-1	AQGS01000479	2240	26092	28085	1	0	
EPS44867.1	EPS44867.1	0	AQGS01000031	2239	26091	37715	0	1	
EPS44867.1	EPS36539.1	1	AQGS01000876	2238	26088	26967	3	0	
EPS44867.1	EPS45529.1	2	AQGS01000013	2237	26057	27159	31	0	
EPS44867.1	EPS44345.1	3	AQGS01000050	2236	26055	28449	2	0	
EPS44867.1	EPS40698.1	4	AQGS01000283	2235	25981	27104	74	0	
EPS44867.1	EPS38410.1	5	AQGS01000561	2234	25946	26788	35	1	

