Cluster:1
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX51809.1	EGX45399.1	-4	ADOT01000260	7055	315235	315846	60	1	
EGX51809.1	EGX52250.1	-3	ADOT01000058	7054	315175	317830	200	0	
EGX51809.1	EGX46515.1	-2	ADOT01000191	7053	314973	318030	44	0	
EGX51809.1	EGX52349.1	-1	ADOT01000057	7052	314929	316315	30	0	
EGX51809.1	EGX51809.1	0	ADOT01000061	7051	314899	322677	0	1	

Cluster:6
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX52010.1	EGX52010.1	0	ADOT01000059	363	9901	11355	0	0	
EGX52010.1	EGX44428.1	1	ADOT01000281	362	9886	17427	15	1	
EGX52010.1	EGX43073.1	2	ADOT01000321	361	9880	11488	6	0	
EGX52010.1	EGX50251.1	3	ADOT01000124	360	9862	11447	18	0	
EGX52010.1	EGX50018.1	4	ADOT01000127	359	9827	12226	35	0	
EGX52010.1	EGX53054.1	5	ADOT01000015	358	9814	10119	13	0	
EGX52010.1	EGX54004.1	6	ADOT01000005	357	9705	11138	109	1	

Cluster:7
Backbone_gene_id	Gene_id	Gene_positions	Chromosome-Contig	Gene_order	5'end	3'end	Gene_distance	Domain_score	Annotated_gene_function
EGX52125.1	EGX50683.1	-10	ADOT01000119	8180	423237	427654	45	0	
EGX52125.1	EGX48772.1	-9	ADOT01000139	8179	423192	424605	241	0	
EGX52125.1	EGX43385.1	-8	ADOT01000316	8178	422951	425333	38	0	
EGX52125.1	EGX45018.1	-7	ADOT01000263	8177	422913	425515	56	0	
EGX52125.1	EGX49346.1	-6	ADOT01000134	8176	422857	424556	292	0	
EGX52125.1	EGX52736.1	-5	ADOT01000017	8175	422565	426651	125	0	
EGX52125.1	EGX53857.1	-4	ADOT01000006	8174	422440	425029	39	1	
EGX52125.1	EGX49003.1	-3	ADOT01000138	8173	422401	424517	5	0	
EGX52125.1	EGX46294.1	-2	ADOT01000194	8172	422396	423732	98	0	
EGX52125.1	EGX47121.1	-1	ADOT01000172	8171	422298	423290	115	0	
EGX52125.1	EGX52125.1	0	ADOT01000059	8170	422183	423811	0	0	
EGX52125.1	EGX52845.1	1	ADOT01000016	8169	422163	423047	20	0	
EGX52125.1	EGX46140.1	2	ADOT01000195	8168	421968	422972	75	0	
EGX52125.1	EGX48771.1	3	ADOT01000139	8167	421816	422602	152	0	
EGX52125.1	EGX53380.1	4	ADOT01000012	8166	421672	423672	144	0	
EGX52125.1	EGX45522.1	5	ADOT01000259	8165	421451	424772	221	0	
EGX52125.1	EGX50682.1	6	ADOT01000119	8164	421307	423029	144	0	
EGX52125.1	EGX51378.1	7	ADOT01000085	8163	421257	423102	50	0	
EGX52125.1	EGX44398.1	8	ADOT01000287	8162	421247	422515	10	1	

